Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 12/12  04:00:00,0.783160219754,6.73712170071,0.0,6.36439746458,0.17040974886,0.17040974886,0.17040974886,0.0814988419834,0.0178167773756,0.0747526356716,0.417982215863
 12/12  05:00:00,0.783673585317,6.95986010288,0.0,6.52161517707,0.174619327386,0.174619327386,0.174619327386,0.0814988419834,0.0178167773756,0.0868457568597,0.402192881712
 12/12  06:00:00,0.856272721809,7.25095797364,0.0,6.52056428939,0.174591189372,0.174591189372,0.174591189372,0.0905542628612,0.019796420626,0.101815917579,0.44881493137
 12/12  07:00:00,1.10158753295,7.45565033304,0.0,6.1814700551,0.16551178105,0.16551178105,0.16551178105,0.1901639145,0.041572475,0.165077844744,0.518561517658
 12/12  08:00:00,1.51954388452,8.12613706463,0.0,6.70118084588,0.179427283002,0.179427283002,0.179427283002,0.389383325943,0.0851246075038,0.25639820385,0.551010464219
 12/12  09:00:00,1.46670055721,8.4194820619,0.0,7.03902273685,0.18847315924,0.18847315924,0.18847315924,0.380327937665,0.0831449737557,0.32820696637,0.465847520178
 12/12  10:00:00,1.23146651091,7.25027925507,0.0,5.99446841903,0.160504723899,0.160504723899,0.160504723899,0.208274799722,0.0455317662519,0.39998131075,0.396473910288
 12/12  11:00:00,1.22463968331,7.52681374242,0.0,6.41237393822,0.171694341607,0.171694341607,0.171694341607,0.172053137943,0.0376132075038,0.416780676038,0.405798320219
 12/12  12:00:00,1.25217473713,7.71689720727,0.0,6.72819514968,0.180150603748,0.180150603748,0.180150603748,0.172053137943,0.0376132075038,0.435735142253,0.405922645685
 12/12  13:00:00,1.22858146103,7.36937910998,0.0,6.47956257049,0.173493348978,0.173493348978,0.173493348978,0.172053137943,0.0376132075038,0.425637021538,0.399084745068
 12/12  14:00:00,1.1800713754,6.46591563047,0.0,5.63403538498,0.150853959132,0.150853959132,0.150853959132,0.172053137943,0.0376132075038,0.385966199058,0.412884871767
 12/12  15:00:00,1.18370572955,5.9566373607,0.0,5.18310246929,0.138780017279,0.138780017279,0.138780017279,0.1901639145,0.041572475,0.356355588907,0.436133733863
 12/12  16:00:00,1.321737396,6.46461335839,0.0,5.68252516707,0.152152295956,0.152152295956,0.152152295956,0.262607346722,0.0574096162519,0.368490937387,0.460377199685
 12/12  17:00:00,1.72216999471,6.62918034688,0.0,5.76759417367,0.154430058797,0.154430058797,0.154430058797,0.470882146443,0.102941382504,0.428670866964,0.54454554
 12/12  18:00:00,2.39615201765,7.48124459949,0.0,6.45751486391,0.172903011219,0.172903011219,0.172903011219,0.824043808112,0.180147407504,0.536821987543,0.661535803274
 12/12  19:00:00,2.74798474888,7.59736095294,0.0,6.42811817136,0.172115900888,0.172115900888,0.172115900888,1.08665094,0.237557,0.482732692333,0.718228215658
 12/12  20:00:00,2.56517639314,7.98453886684,0.0,6.78874225694,0.181771781149,0.181771781149,0.181771781149,1.01420772511,0.221719906259,0.385424228339,0.741352752288
 12/12  21:00:00,2.45662116184,8.76422824311,0.0,7.64351871587,0.204658824661,0.204658824661,0.204658824661,0.923653513834,0.201923473756,0.338845876819,0.766839472767
 12/12  22:00:00,2.25006720405,8.98915859717,0.0,7.96778968162,0.213341332965,0.213341332965,0.213341332965,0.778766651887,0.170249215008,0.318073398495,0.748936605699
 12/12  23:00:00,1.85225347987,9.11236336355,0.0,8.25585849918,0.221054511648,0.221054511648,0.221054511648,0.579547346612,0.126697082504,0.256145886137,0.648108652973
 12/12  24:00:00,1.48999726781,9.49524211624,0.0,8.81517451142,0.236030462115,0.236030462115,0.236030462115,0.407494211165,0.0890838987557,0.173494335907,0.563194359863
 12/13  01:00:00,1.09445980285,9.41672065162,0.0,8.92375909822,0.238937865725,0.238937865725,0.238937865725,0.208274799722,0.0455317662519,0.115167850971,0.465847520178
 12/13  02:00:00,0.948502212148,9.59668117481,0.0,9.18816879765,0.246017560343,0.246017560343,0.246017560343,0.126775979222,0.0277149912519,0.0983708244822,0.428922856849
 12/13  03:00:00,0.888882389966,10.1514790452,0.0,9.76516054202,0.261466786888,0.261466786888,0.261466786888,0.0814988419834,0.0178167773756,0.0834501454999,0.423949838219
 12/13  04:00:00,0.869803526923,9.99315166285,0.0,9.60031822711,0.257053056029,0.257053056029,0.257053056029,0.0814988419834,0.0178167773756,0.0747526356716,0.417982215863
 12/13  05:00:00,0.868661859303,10.153975701,0.0,9.69572439964,0.259607601372,0.259607601372,0.259607601372,0.0814988419834,0.0178167773756,0.0868457568597,0.402192881712
 12/13  06:00:00,0.935321102935,10.223203164,0.0,9.47283268826,0.253639570499,0.253639570499,0.253639570499,0.0905542628612,0.019796420626,0.101815917579,0.44881493137
 12/13  07:00:00,1.18198722139,10.4783294812,0.0,9.18420655745,0.24591146949,0.24591146949,0.24591146949,0.1901639145,0.041572475,0.165077844744,0.518561517658
 12/13  08:00:00,1.60646441491,11.3928001806,0.0,9.9474552344,0.266347813398,0.266347813398,0.266347813398,0.389383325943,0.0851246075038,0.25639820385,0.551010464219
 12/13  09:00:00,1.52407120479,10.5824284375,0.0,9.18167951835,0.245843806824,0.245843806824,0.245843806824,0.380327937665,0.0831449737557,0.32820696637,0.465847520178
 12/13  10:00:00,1.30767717954,10.1175903754,0.0,8.8407550278,0.236715392526,0.236715392526,0.236715392526,0.208274799722,0.0455317662519,0.39998131075,0.396473910288
 12/13  11:00:00,1.3020565565,10.4377250328,0.0,9.30370940893,0.249111214795,0.249111214795,0.249111214795,0.172053137943,0.0376132075038,0.416780676038,0.405798320219
 12/13  12:00:00,1.29290641156,9.25673784563,0.0,8.24942598991,0.220882278174,0.220882278174,0.220882278174,0.172053137943,0.0376132075038,0.435735142253,0.405922645685
 12/13  13:00:00,1.27569108596,9.14456228255,0.0,8.23899464222,0.220602973911,0.220602973911,0.220602973911,0.172053137943,0.0376132075038,0.425637021538,0.399084745068
 12/13  14:00:00,1.2379699573,8.64415396102,0.0,7.79640925316,0.208752541028,0.208752541028,0.208752541028,0.172053137943,0.0376132075038,0.385966199058,0.412884871767
 12/13  15:00:00,1.24976237197,8.43894864577,0.0,7.65016043015,0.204836659699,0.204836659699,0.204836659699,0.1901639145,0.041572475,0.356355588907,0.436133733863
 12/13  16:00:00,1.38873850249,8.98328318191,0.0,8.18485660703,0.219153402442,0.219153402442,0.219153402442,0.262607346722,0.0574096162519,0.368490937387,0.460377199685
 12/13  17:00:00,1.79199918636,9.25146379246,0.0,8.37554784567,0.224259250446,0.224259250446,0.224259250446,0.470882146443,0.102941382504,0.428670866964,0.54454554
 12/13  18:00:00,2.45851688246,9.82416080812,0.0,8.78669374072,0.235267876024,0.235267876024,0.235267876024,0.824043808112,0.180147407504,0.536821987543,0.661535803274
 12/13  19:00:00,2.80299739464,9.66201191147,0.0,8.48270921194,0.227128546654,0.227128546654,0.227128546654,1.08665094,0.237557,0.482732692333,0.718228215658
 12/13  20:00:00,2.60479677034,9.47389772742,0.0,8.26846879757,0.221392158345,0.221392158345,0.221392158345,1.01420772511,0.221719906259,0.385424228339,0.741352752288
 12/13  21:00:00,2.43704437432,8.03750677802,0.0,6.91237241889,0.185082037142,0.185082037142,0.185082037142,0.923653513834,0.201923473756,0.338845876819,0.766839472767
 12/13  22:00:00,2.22595034965,8.09119777467,0.0,7.06708272078,0.189224478566,0.189224478566,0.189224478566,0.778766651887,0.170249215008,0.318073398495,0.748936605699
 12/13  23:00:00,1.82628098612,8.14376196455,0.0,7.28584783679,0.195082017899,0.195082017899,0.195082017899,0.579547346612,0.126697082504,0.256145886137,0.648108652973
 12/13  24:00:00,1.46342883416,8.50315070641,0.0,7.82290691604,0.20946202847,0.20946202847,0.20946202847,0.407494211165,0.0890838987557,0.173494335907,0.563194359863
 12/14  01:00:00,1.07518878086,8.69650847651,0.0,8.20403241431,0.219666843742,0.219666843742,0.219666843742,0.208274799722,0.0455317662519,0.115167850971,0.465847520178
 12/14  02:00:00,0.922044864692,8.60821569088,0.0,8.20005000635,0.219560212887,0.219560212887,0.219560212887,0.126775979222,0.0277149912519,0.0983708244822,0.428922856849
 12/14  03:00:00,0.850957454897,8.73411494703,0.0,8.3487547189,0.223541851818,0.223541851818,0.223541851818,0.0814988419834,0.0178167773756,0.0834501454999,0.423949838219
 12/14  04:00:00,0.850078740291,9.25467780889,0.0,8.86364451641,0.237328269397,0.237328269397,0.237328269397,0.0814988419834,0.0178167773756,0.0747526356716,0.417982215863
 12/14  05:00:00,0.849016668504,9.41752441999,0.0,8.96202340336,0.239962410573,0.239962410573,0.239962410573,0.0814988419834,0.0178167773756,0.0868457568597,0.402192881712
 12/14  06:00:00,0.926619354646,9.89584088646,0.0,9.147843155,0.24493782221,0.24493782221,0.24493782221,0.0905542628612,0.019796420626,0.101815917579,0.44881493137
 12/14  07:00:00,1.1733167746,10.1527772513,0.0,8.86038606031,0.237241022696,0.237241022696,0.237241022696,0.1901639145,0.041572475,0.165077844744,0.518561517658
 12/14  08:00:00,1.57747918959,10.3077335184,0.0,8.86492623693,0.23736258807,0.23736258807,0.23736258807,0.389383325943,0.0851246075038,0.25639820385,0.551010464219
 12/14  09:00:00,1.48906774963,9.27182674328,0.0,7.87438399792,0.210840351656,0.210840351656,0.210840351656,0.380327937665,0.0831449737557,0.32820696637,0.465847520178
 12/14  10:00:00,1.2895763344,9.43860101842,0.0,8.16473165649,0.218614547384,0.218614547384,0.218614547384,0.208274799722,0.0455317662519,0.39998131075,0.396473910288
 12/14  11:00:00,1.27547463669,9.44451372286,0.0,8.31093813746,0.222529294985,0.222529294985,0.222529294985,0.172053137943,0.0376132075038,0.416780676038,0.405798320219
 12/14  12:00:00,1.27519377126,8.59426561203,0.0,7.58790114306,0.203169637874,0.203169637874,0.203169637874,0.172053137943,0.0376132075038,0.435735142253,0.405922645685
 12/14  13:00:00,1.25421708814,8.34354841837,0.0,7.43699206757,0.199128976083,0.199128976083,0.199128976083,0.172053137943,0.0376132075038,0.425637021538,0.399084745068
 12/14  14:00:00,1.22573972946,8.18641250851,0.0,7.33963942881,0.196522313188,0.196522313188,0.196522313188,0.172053137943,0.0376132075038,0.385966199058,0.412884871767
