Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 10/02  07:00:00,1.04481211734,1.86594408219,0.0,0.762137643832,0.0,0.0209841527887,0.0209841527887,0.0209841527887,0.30012153441,0.0653888174317,0.211649190125,0.414556422586,1.07525273974
 10/02  08:00:00,0.985903529693,1.78394446425,0.0,0.715109492211,0.0,0.0196893132974,0.0196893132974,0.0196893132974,0.267380977545,0.0582555024903,0.272982226561,0.350483509799,1.04469446917
 10/02  09:00:00,0.831313683363,1.77424389863,0.0,0.8010344435,0.0,0.0220551094509,0.0220551094509,0.0220551094509,0.130962143864,0.0285333144043,0.334361307064,0.29828980858,0.952663935071
 10/02  10:00:00,0.832397039504,2.1215602083,0.0,1.25640054376,0.0,0.0345928339681,0.0345928339681,0.0345928339681,0.10367836041,0.0225888731445,0.34911988098,0.305305091002,0.844130947876
 10/02  11:00:00,0.83603285203,1.56719951996,0.0,0.799261124227,0.0,0.0220062841464,0.0220062841464,0.0220062841464,0.10367836041,0.0225888731445,0.365248706228,0.305398628101,0.746903236439
 10/02  12:00:00,0.813303891077,1.18509533362,0.0,0.492655811507,0.0,0.0135644327564,0.0135644327564,0.0135644327564,0.10367836041,0.0225888731445,0.356106137108,0.300254087658,0.671758707007
 10/02  13:00:00,0.787467789887,1.05482623213,0.0,0.405778045506,0.0,0.0111724024841,0.0111724024841,0.0111724024841,0.10367836041,0.0225888731445,0.322279448206,0.310636705643,0.627652240525
 10/02  14:00:00,0.777178481046,0.919768883783,0.0,0.313526855032,0.0,0.00863242418555,0.00863242418555,0.00863242418555,0.10367836041,0.0225888731445,0.297038680158,0.328128143148,0.583641312427
 10/02  15:00:00,0.806554558058,0.723835051923,0.0,0.110339937355,0.0,0.00303802091771,0.00303802091771,0.00303802091771,0.109135133819,0.0237777468263,0.307123779051,0.346367877445,0.589638087046
 10/02  16:00:00,0.950637511564,0.671709039948,0.0,0.0,0.0,0.0,0.0,0.0,0.136418833681,0.029722188086,0.357691996357,0.40969249344,0.643490357651
 10/02  17:00:00,1.23647549456,0.813436806962,0.0,0.0199497228178,0.0,0.000549281399611,0.000549281399611,0.000549281399611,0.223726957455,0.0487444037597,0.448631948385,0.49771090356,0.759205894987
 10/02  18:00:00,1.48845787836,0.903311105385,0.0,0.0,0.0,0.0,0.0,0.0,0.409256584636,0.0891665824708,0.402558890565,0.540363820686,0.866092080811
 10/02  19:00:00,1.67941909043,0.922345904816,0.0,0.0,0.0,0.0,0.0,0.0,0.643897005317,0.140288751807,0.320359612211,0.557761721092,0.883928552638
 10/02  20:00:00,1.73909503102,0.86035473403,0.0,0.0,0.0,0.0,0.0,0.0,0.709378119045,0.154555418115,0.281112667479,0.576936826379,0.820616644438
 10/02  21:00:00,1.56859944968,0.782511380925,0.0,0.0,0.0,0.0,0.0,0.0,0.59478629541,0.129588761182,0.263644908961,0.563467484128,0.743701028833
 10/02  22:00:00,1.26272203469,0.727092225197,0.0,0.0716116760856,0.0,0.00197170467119,0.00197170467119,0.00197170467119,0.44745391491,0.0974887893068,0.211086728929,0.487608896873,0.621895163079
 10/02  23:00:00,0.972815165861,0.966850741977,0.0,0.447600810655,0.0,0.0123239205872,0.0123239205872,0.0123239205872,0.311034997636,0.0677666012207,0.140854588134,0.423723058284,0.490064855795
 10/02  24:00:00,0.68067766882,1.43357042115,0.0,1.05960876168,0.0,0.0291745097898,0.0291745097898,0.0291745097898,0.158245843726,0.0344777374512,0.0911840680538,0.350483509799,0.349821156607
 10/03  01:00:00,0.58220812778,1.97225397168,0.0,1.66433471767,0.0,0.0458246017496,0.0458246017496,0.0458246017496,0.098221587,0.02139998125,0.0769469663719,0.322702991408,0.285692209739
 10/03  02:00:00,0.535745417542,2.30744977852,0.0,2.01751772176,0.0,0.0555488899806,0.0555488899806,0.0555488899806,0.0654810552136,0.0142666535596,0.0643753113384,0.31896150745,0.267962717342
 10/03  03:00:00,0.534593521667,2.69585807257,0.0,2.4018598534,0.0,0.0661310913436,0.0661310913436,0.0661310913436,0.0654810552136,0.0142666535596,0.0571309948506,0.3144717267,0.272338125593
 10/03  04:00:00,0.542462087509,3.08487723186,0.0,2.74090330931,0.0,0.0754660713677,0.0754660713677,0.0754660713677,0.0654810552136,0.0142666535596,0.067543792236,0.302592515132,0.323132041909
