Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 04/23  05:00:00,0.503757128547,0.0372898114642,0.0,0.0,0.0,0.0,0.0,0.0220108876392,0.00366399983727,0.0450355385005,0.252318951148,0.170932751422
 04/23  06:00:00,0.761556470919,0.0666220845008,0.0,0.0,0.0,0.0,0.0,0.0362532160862,0.00603482149462,0.0519248138223,0.291529735523,0.366018883993
 04/23  07:00:00,0.884797089031,0.101159314261,0.0,0.0,0.0,0.0,0.0,0.0673274316275,0.0112075306808,0.061417766282,0.309772186008,0.410277174433
 04/23  08:00:00,0.789619675067,0.104515578197,0.0,0.0,0.0,0.0,0.0,0.0543798241294,0.00905223665884,0.0698692910607,0.261894490291,0.384628832927
 04/23  09:00:00,0.7080375111,0.105846062962,0.0,0.0307243872804,0.00675577258764,0.0374801598681,0.00675577258764,0.025895159275,0.00431058804385,0.073228524573,0.222893389255,0.334434690085
 04/23  10:00:00,0.701956926147,0.0955508125029,0.0,0.0725690464069,0.0150372461406,0.0876062925475,0.0150372461406,0.0207161295428,0.00344847043508,0.0689963365411,0.228135472728,0.283259224353
 04/23  11:00:00,0.676007565827,0.10886543319,0.0,0.087718004801,0.0177883307032,0.105506335504,0.0177883307032,0.0207161295428,0.00344847043508,0.0679662920436,0.228205367174,0.240369971128
 04/23  12:00:00,0.654726693504,0.121911153108,0.0,0.0991969465291,0.0199123647738,0.119109311303,0.0199123647738,0.0207161295428,0.00344847043508,0.0695945534033,0.224361172627,0.207702056192
 04/23  13:00:00,0.667574760827,0.102470011631,0.0,0.121972120202,0.0239350901226,0.145907210325,0.0239350901226,0.0207161295428,0.00344847043508,0.0678988010544,0.232119456167,0.187689693304
 04/23  14:00:00,0.670660735879,0.0993768850387,0.0,0.130630924147,0.0256326445225,0.15626356867,0.0256326445225,0.0207161295428,0.00344847043508,0.0647585706427,0.245189717625,0.170489278963
 04/23  15:00:00,0.698212284631,0.124278440237,0.0,0.136528467727,0.0270679152838,0.163596383011,0.0270679152838,0.0207161295428,0.00344847043508,0.0670449728714,0.258819134654,0.174792194117
 04/23  16:00:00,0.80777166084,0.194097178673,0.0,0.157148704219,0.0311546873832,0.188303391602,0.0311546873832,0.0220108876392,0.00366399983727,0.0764068243317,0.3061376748,0.201453882629
 04/23  17:00:00,1.01343005182,0.307786308067,0.0,0.206082219393,0.0413573249049,0.247439544298,0.0413573249049,0.0297794388711,0.00495717669212,0.0934713543359,0.37190834877,0.256079188857
 04/23  18:00:00,1.16162623342,0.247417897267,0.0,0.210603018153,0.0422627149284,0.252865733081,0.0422627149284,0.0543798241294,0.00905223665884,0.0955301778292,0.403780216283,0.306223045434
 04/23  19:00:00,1.1955265835,0.141794829324,0.0,0.200154264209,0.0405665859425,0.240720850152,0.0405665859425,0.107464924656,0.0178889408237,0.0878772030218,0.416780583295,0.314999081555
 04/23  20:00:00,1.243072726,0.0961854192202,0.0,0.191451521384,0.0392603264655,0.230711847849,0.0392603264655,0.17608710642,0.0293119995815,0.0783154851054,0.431108944787,0.287742342254
